cohort_month,month_number,retained_users,retention_rate
2023-06-01 00:00:00+05:30,16,1402,24.55
2023-06-01 00:00:00+05:30,17,1398,24.48
2023-06-01 00:00:00+05:30,18,1385,24.26
2023-06-01 00:00:00+05:30,19,1422,24.9
2023-06-01 00:00:00+05:30,20,1253,21.94
2023-06-01 00:00:00+05:30,21,1410,24.69
2023-06-01 00:00:00+05:30,22,1402,24.55
2023-06-01 00:00:00+05:30,23,1461,25.59
2023-06-01 00:00:00+05:30,24,1357,23.77
2023-07-01 00:00:00+05:30,0,4450,100
2023-07-01 00:00:00+05:30,1,1070,24.04
2023-07-01 00:00:00+05:30,2,1040,23.37
2023-07-01 00:00:00+05:30,3,1185,26.63
2023-07-01 00:00:00+05:30,4,1082,24.31
2023-07-01 00:00:00+05:30,5,1102,24.76
2023-07-01 00:00:00+05:30,6,1138,25.57
2023-07-01 00:00:00+05:30,7,1069,24.02
2023-07-01 00:00:00+05:30,8,1123,25.24
2023-07-01 00:00:00+05:30,9,1053,23.66
2023-07-01 00:00:00+05:30,10,1097,24.65
2023-07-01 00:00:00+05:30,11,1097,24.65
2023-07-01 00:00:00+05:30,12,1112,24.99
2023-07-01 00:00:00+05:30,13,1082,24.31
2023-07-01 00:00:00+05:30,14,1034,23.24
2023-07-01 00:00:00+05:30,15,1097,24.65
2023-07-01 00:00:00+05:30,16,1035,23.26
2023-07-01 00:00:00+05:30,17,1149,25.82
2023-07-01 00:00:00+05:30,18,1156,25.98
2023-07-01 00:00:00+05:30,19,985,22.13
2023-07-01 00:00:00+05:30,20,1136,25.53
2023-07-01 00:00:00+05:30,21,1079,24.25
2023-07-01 00:00:00+05:30,22,1160,26.07
2023-07-01 00:00:00+05:30,23,1026,23.06
2023-07-01 00:00:00+05:30,24,1092,24.54
2023-08-01 00:00:00+05:30,0,3292,100
2023-08-01 00:00:00+05:30,1,777,23.6
2023-08-01 00:00:00+05:30,2,815,24.76
2023-08-01 00:00:00+05:30,3,783,23.78
2023-08-01 00:00:00+05:30,4,793,24.09
2023-08-01 00:00:00+05:30,5,823,25
2023-08-01 00:00:00+05:30,6,766,23.27
2023-08-01 00:00:00+05:30,7,776,23.57
2023-08-01 00:00:00+05:30,8,814,24.73
2023-08-01 00:00:00+05:30,9,813,24.7
2023-08-01 00:00:00+05:30,10,804,24.42
2023-08-01 00:00:00+05:30,11,796,24.18
2023-08-01 00:00:00+05:30,12,788,23.94
2023-08-01 00:00:00+05:30,13,782,23.75
2023-08-01 00:00:00+05:30,14,826,25.09
2023-08-01 00:00:00+05:30,15,834,25.33
2023-08-01 00:00:00+05:30,16,847,25.73
2023-08-01 00:00:00+05:30,17,794,24.12
2023-08-01 00:00:00+05:30,18,745,22.63
2023-08-01 00:00:00+05:30,19,832,25.27
2023-08-01 00:00:00+05:30,20,808,24.54
2023-08-01 00:00:00+05:30,21,827,25.12
2023-08-01 00:00:00+05:30,22,768,23.33
2023-08-01 00:00:00+05:30,23,821,24.94
2023-08-01 00:00:00+05:30,24,868,26.37
2023-09-01 00:00:00+05:30,0,2447,100
2023-09-01 00:00:00+05:30,1,625,25.54
2023-09-01 00:00:00+05:30,2,610,24.93
2023-09-01 00:00:00+05:30,3,593,24.23
2023-09-01 00:00:00+05:30,4,596,24.36
2023-09-01 00:00:00+05:30,5,628,25.66
2023-09-01 00:00:00+05:30,6,612,25.01
2023-09-01 00:00:00+05:30,7,598,24.44
2023-09-01 00:00:00+05:30,8,616,25.17
2023-09-01 00:00:00+05:30,9,582,23.78
2023-09-01 00:00:00+05:30,10,621,25.38
2023-09-01 00:00:00+05:30,11,638,26.07
2023-09-01 00:00:00+05:30,12,552,22.56
2023-09-01 00:00:00+05:30,13,614,25.09
2023-09-01 00:00:00+05:30,14,593,24.23
2023-09-01 00:00:00+05:30,15,629,25.7
2023-09-01 00:00:00+05:30,16,625,25.54
2023-09-01 00:00:00+05:30,17,527,21.54
2023-09-01 00:00:00+05:30,18,566,23.13
2023-09-01 00:00:00+05:30,19,573,23.42
2023-09-01 00:00:00+05:30,20,595,24.32
2023-09-01 00:00:00+05:30,21,540,22.07
2023-09-01 00:00:00+05:30,22,617,25.21
2023-09-01 00:00:00+05:30,23,608,24.85
2023-09-01 00:00:00+05:30,24,603,24.64
2023-10-01 00:00:00+05:30,0,1935,100
2023-10-01 00:00:00+05:30,1,457,23.62
2023-10-01 00:00:00+05:30,2,415,21.45
2023-10-01 00:00:00+05:30,3,507,26.2
2023-10-01 00:00:00+05:30,4,456,23.57
2023-10-01 00:00:00+05:30,5,453,23.41
2023-10-01 00:00:00+05:30,6,467,24.13
2023-10-01 00:00:00+05:30,7,454,23.46
2023-10-01 00:00:00+05:30,8,449,23.2
2023-10-01 00:00:00+05:30,9,476,24.6
2023-10-01 00:00:00+05:30,10,492,25.43
2023-10-01 00:00:00+05:30,11,443,22.89
2023-10-01 00:00:00+05:30,12,463,23.93
2023-10-01 00:00:00+05:30,13,470,24.29
2023-10-01 00:00:00+05:30,14,457,23.62
2023-10-01 00:00:00+05:30,15,499,25.79
2023-10-01 00:00:00+05:30,16,435,22.48
2023-10-01 00:00:00+05:30,17,477,24.65
2023-10-01 00:00:00+05:30,18,455,23.51
2023-10-01 00:00:00+05:30,19,490,25.32
2023-10-01 00:00:00+05:30,20,481,24.86
2023-10-01 00:00:00+05:30,21,479,24.75
2023-10-01 00:00:00+05:30,22,463,23.93
2023-10-01 00:00:00+05:30,23,436,22.53
2023-10-01 00:00:00+05:30,24,454,23.46
2023-11-01 00:00:00+05:30,0,1308,100
2023-11-01 00:00:00+05:30,1,326,24.92
2023-11-01 00:00:00+05:30,2,327,25
2023-11-01 00:00:00+05:30,3,284,21.71
2023-11-01 00:00:00+05:30,4,307,23.47
2023-11-01 00:00:00+05:30,5,320,24.46
2023-11-01 00:00:00+05:30,6,284,21.71
2023-11-01 00:00:00+05:30,7,340,25.99
2023-11-01 00:00:00+05:30,8,304,23.24
2023-11-01 00:00:00+05:30,9,329,25.15
2023-11-01 00:00:00+05:30,10,312,23.85
2023-11-01 00:00:00+05:30,11,348,26.61
2023-11-01 00:00:00+05:30,12,294,22.48
2023-11-01 00:00:00+05:30,13,322,24.62
2023-11-01 00:00:00+05:30,14,349,26.68
2023-11-01 00:00:00+05:30,15,308,23.55
2023-11-01 00:00:00+05:30,16,353,26.99
2023-11-01 00:00:00+05:30,17,334,25.54
2023-11-01 00:00:00+05:30,18,321,24.54
2023-11-01 00:00:00+05:30,19,304,23.24
2023-11-01 00:00:00+05:30,20,306,23.39
2023-11-01 00:00:00+05:30,21,358,27.37
2023-11-01 00:00:00+05:30,22,302,23.09
2023-11-01 00:00:00+05:30,23,324,24.77
2023-11-01 00:00:00+05:30,24,278,21.25
2023-12-01 00:00:00+05:30,0,1090,100
2023-12-01 00:00:00+05:30,1,266,24.4
2023-12-01 00:00:00+05:30,2,259,23.76
2023-12-01 00:00:00+05:30,3,282,25.87
2023-12-01 00:00:00+05:30,4,291,26.7
2023-12-01 00:00:00+05:30,5,250,22.94
2023-12-01 00:00:00+05:30,6,250,22.94
2023-12-01 00:00:00+05:30,7,266,24.4
2023-12-01 00:00:00+05:30,8,284,26.06
2023-12-01 00:00:00+05:30,9,272,24.95
2023-12-01 00:00:00+05:30,10,275,25.23
2023-12-01 00:00:00+05:30,11,260,23.85
2023-12-01 00:00:00+05:30,12,259,23.76
2023-12-01 00:00:00+05:30,13,291,26.7
2023-12-01 00:00:00+05:30,14,247,22.66
2023-12-01 00:00:00+05:30,15,272,24.95
2023-12-01 00:00:00+05:30,16,268,24.59
2023-12-01 00:00:00+05:30,17,234,21.47
2023-12-01 00:00:00+05:30,18,257,23.58
2023-12-01 00:00:00+05:30,19,253,23.21
2023-12-01 00:00:00+05:30,20,260,23.85
2023-12-01 00:00:00+05:30,21,265,24.31
2023-12-01 00:00:00+05:30,22,265,24.31
2023-12-01 00:00:00+05:30,23,249,22.84
2023-12-01 00:00:00+05:30,24,251,23.03
2024-01-01 00:00:00+05:30,0,790,100
2024-01-01 00:00:00+05:30,1,187,23.67
2024-01-01 00:00:00+05:30,2,211,26.71
2024-01-01 00:00:00+05:30,3,192,24.3
2024-01-01 00:00:00+05:30,4,200,25.32
2024-01-01 00:00:00+05:30,5,178,22.53
2024-01-01 00:00:00+05:30,6,198,25.06
2024-01-01 00:00:00+05:30,7,186,23.54
2024-01-01 00:00:00+05:30,8,179,22.66
2024-01-01 00:00:00+05:30,9,198,25.06
2024-01-01 00:00:00+05:30,10,189,23.92
2024-01-01 00:00:00+05:30,11,197,24.94
2024-01-01 00:00:00+05:30,12,188,23.8
2024-01-01 00:00:00+05:30,13,159,20.13
2024-01-01 00:00:00+05:30,14,207,26.2
2024-01-01 00:00:00+05:30,15,187,23.67
2024-01-01 00:00:00+05:30,16,163,20.63
2024-01-01 00:00:00+05:30,17,175,22.15
2024-01-01 00:00:00+05:30,18,192,24.3
2024-01-01 00:00:00+05:30,19,192,24.3
2024-01-01 00:00:00+05:30,20,199,25.19
2024-01-01 00:00:00+05:30,21,189,23.92
2024-01-01 00:00:00+05:30,22,199,25.19
2024-01-01 00:00:00+05:30,23,189,23.92
2024-02-01 00:00:00+05:30,0,572,100
2024-02-01 00:00:00+05:30,1,127,22.2
2024-02-01 00:00:00+05:30,2,144,25.17
2024-02-01 00:00:00+05:30,3,119,20.8
2024-02-01 00:00:00+05:30,4,163,28.5
2024-02-01 00:00:00+05:30,5,172,30.07
2024-02-01 00:00:00+05:30,6,150,26.22
2024-02-01 00:00:00+05:30,7,140,24.48
2024-02-01 00:00:00+05:30,8,147,25.7
2024-02-01 00:00:00+05:30,9,144,25.17
2024-02-01 00:00:00+05:30,10,147,25.7
2024-02-01 00:00:00+05:30,11,137,23.95
2024-02-01 00:00:00+05:30,12,141,24.65
2024-02-01 00:00:00+05:30,13,134,23.43
2024-02-01 00:00:00+05:30,14,147,25.7
2024-02-01 00:00:00+05:30,15,150,26.22
2024-02-01 00:00:00+05:30,16,151,26.4
2024-02-01 00:00:00+05:30,17,146,25.52
2024-02-01 00:00:00+05:30,18,148,25.87
2024-02-01 00:00:00+05:30,19,137,23.95
2024-02-01 00:00:00+05:30,20,152,26.57
2024-02-01 00:00:00+05:30,21,130,22.73
2024-02-01 00:00:00+05:30,22,135,23.6
2024-03-01 00:00:00+05:30,0,511,100
2024-03-01 00:00:00+05:30,1,136,26.61
2024-03-01 00:00:00+05:30,2,118,23.09
2024-03-01 00:00:00+05:30,3,126,24.66
2024-03-01 00:00:00+05:30,4,122,23.87
2024-03-01 00:00:00+05:30,5,128,25.05
2024-03-01 00:00:00+05:30,6,131,25.64
2024-03-01 00:00:00+05:30,7,131,25.64
2024-03-01 00:00:00+05:30,8,142,27.79
2024-03-01 00:00:00+05:30,9,134,26.22
2024-03-01 00:00:00+05:30,10,121,23.68
2024-03-01 00:00:00+05:30,11,139,27.2
2024-03-01 00:00:00+05:30,12,120,23.48
2024-03-01 00:00:00+05:30,13,130,25.44
2024-03-01 00:00:00+05:30,14,116,22.7
2024-03-01 00:00:00+05:30,15,130,25.44
2024-03-01 00:00:00+05:30,16,136,26.61
2024-03-01 00:00:00+05:30,17,133,26.03
2024-03-01 00:00:00+05:30,18,134,26.22
2024-03-01 00:00:00+05:30,19,117,22.9
2024-03-01 00:00:00+05:30,20,108,21.14
2024-03-01 00:00:00+05:30,21,110,21.53
2024-04-01 00:00:00+05:30,0,326,100
2024-04-01 00:00:00+05:30,1,71,21.78
2024-04-01 00:00:00+05:30,2,75,23.01
2024-04-01 00:00:00+05:30,3,90,27.61
2024-04-01 00:00:00+05:30,4,83,25.46
2024-04-01 00:00:00+05:30,5,77,23.62
2024-04-01 00:00:00+05:30,6,84,25.77
2024-04-01 00:00:00+05:30,7,72,22.09
2024-04-01 00:00:00+05:30,8,75,23.01
2024-04-01 00:00:00+05:30,9,72,22.09
2024-04-01 00:00:00+05:30,10,73,22.39
2024-04-01 00:00:00+05:30,11,88,26.99
2024-04-01 00:00:00+05:30,12,83,25.46
2024-04-01 00:00:00+05:30,13,79,24.23
2024-04-01 00:00:00+05:30,14,83,25.46
2024-04-01 00:00:00+05:30,15,72,22.09
2024-04-01 00:00:00+05:30,16,83,25.46
2024-04-01 00:00:00+05:30,17,69,21.17
2024-04-01 00:00:00+05:30,18,79,24.23
2024-04-01 00:00:00+05:30,19,74,22.7
2024-04-01 00:00:00+05:30,20,78,23.93
2024-05-01 00:00:00+05:30,0,289,100
2024-05-01 00:00:00+05:30,1,68,23.53
2024-05-01 00:00:00+05:30,2,83,28.72
2024-05-01 00:00:00+05:30,3,61,21.11
2024-05-01 00:00:00+05:30,4,73,25.26
2024-05-01 00:00:00+05:30,5,87,30.1
2024-05-01 00:00:00+05:30,6,77,26.64
2024-05-01 00:00:00+05:30,7,84,29.07
2024-05-01 00:00:00+05:30,8,75,25.95
2024-05-01 00:00:00+05:30,9,74,25.61
2024-05-01 00:00:00+05:30,10,60,20.76
2024-05-01 00:00:00+05:30,11,71,24.57
2024-05-01 00:00:00+05:30,12,65,22.49
2024-05-01 00:00:00+05:30,13,73,25.26
2024-05-01 00:00:00+05:30,14,80,27.68
2024-05-01 00:00:00+05:30,15,81,28.03
2024-05-01 00:00:00+05:30,16,56,19.38
2024-05-01 00:00:00+05:30,17,71,24.57
2024-05-01 00:00:00+05:30,18,84,29.07
2024-05-01 00:00:00+05:30,19,75,25.95
2024-06-01 00:00:00+05:30,0,217,100
2024-06-01 00:00:00+05:30,1,71,32.72
2024-06-01 00:00:00+05:30,2,44,20.28
2024-06-01 00:00:00+05:30,3,47,21.66
2024-06-01 00:00:00+05:30,4,46,21.2
2024-06-01 00:00:00+05:30,5,45,20.74
2024-06-01 00:00:00+05:30,6,44,20.28
2024-06-01 00:00:00+05:30,7,50,23.04
2024-06-01 00:00:00+05:30,8,61,28.11
2024-06-01 00:00:00+05:30,9,55,25.35
2024-06-01 00:00:00+05:30,10,50,23.04
2024-06-01 00:00:00+05:30,11,54,24.88
2024-06-01 00:00:00+05:30,12,57,26.27
2024-06-01 00:00:00+05:30,13,50,23.04
2024-06-01 00:00:00+05:30,14,49,22.58
2024-06-01 00:00:00+05:30,15,44,20.28
2024-06-01 00:00:00+05:30,16,54,24.88
2024-06-01 00:00:00+05:30,17,55,25.35
2024-06-01 00:00:00+05:30,18,53,24.42
2024-07-01 00:00:00+05:30,0,167,100
2024-07-01 00:00:00+05:30,1,36,21.56
2024-07-01 00:00:00+05:30,2,38,22.75
2024-07-01 00:00:00+05:30,3,43,25.75
2024-07-01 00:00:00+05:30,4,36,21.56
2024-07-01 00:00:00+05:30,5,38,22.75
2024-07-01 00:00:00+05:30,6,42,25.15
2024-07-01 00:00:00+05:30,7,34,20.36
2024-07-01 00:00:00+05:30,8,43,25.75
2024-07-01 00:00:00+05:30,9,35,20.96
2024-07-01 00:00:00+05:30,10,43,25.75
2024-07-01 00:00:00+05:30,11,43,25.75
2024-07-01 00:00:00+05:30,12,41,24.55
2024-07-01 00:00:00+05:30,13,42,25.15
2024-07-01 00:00:00+05:30,14,45,26.95
2024-07-01 00:00:00+05:30,15,31,18.56
2024-07-01 00:00:00+05:30,16,41,24.55
2024-07-01 00:00:00+05:30,17,38,22.75
2024-08-01 00:00:00+05:30,0,114,100
2024-08-01 00:00:00+05:30,1,24,21.05
2024-08-01 00:00:00+05:30,2,22,19.3
2024-08-01 00:00:00+05:30,3,22,19.3
2024-08-01 00:00:00+05:30,4,27,23.68
2024-08-01 00:00:00+05:30,5,25,21.93
2024-08-01 00:00:00+05:30,6,20,17.54
2024-08-01 00:00:00+05:30,7,29,25.44
2024-08-01 00:00:00+05:30,8,22,19.3
2024-08-01 00:00:00+05:30,9,29,25.44
2024-08-01 00:00:00+05:30,10,30,26.32
2024-08-01 00:00:00+05:30,11,20,17.54
2024-08-01 00:00:00+05:30,12,24,21.05
2024-08-01 00:00:00+05:30,13,29,25.44
2024-08-01 00:00:00+05:30,14,27,23.68
2024-08-01 00:00:00+05:30,15,24,21.05
2024-08-01 00:00:00+05:30,16,25,21.93
2024-09-01 00:00:00+05:30,0,98,100
2024-09-01 00:00:00+05:30,1,24,24.49
2024-09-01 00:00:00+05:30,2,19,19.39
2024-09-01 00:00:00+05:30,3,21,21.43
2024-09-01 00:00:00+05:30,4,25,25.51
2024-09-01 00:00:00+05:30,5,18,18.37
2024-09-01 00:00:00+05:30,6,25,25.51
2024-09-01 00:00:00+05:30,7,21,21.43
2024-09-01 00:00:00+05:30,8,25,25.51
2024-09-01 00:00:00+05:30,9,17,17.35
2024-09-01 00:00:00+05:30,10,32,32.65
2024-09-01 00:00:00+05:30,11,25,25.51
2024-09-01 00:00:00+05:30,12,22,22.45
2024-09-01 00:00:00+05:30,13,32,32.65
2024-09-01 00:00:00+05:30,14,20,20.41
2024-09-01 00:00:00+05:30,15,28,28.57
2024-10-01 00:00:00+05:30,0,59,100
2024-10-01 00:00:00+05:30,1,9,15.25
2024-10-01 00:00:00+05:30,2,14,23.73
2024-10-01 00:00:00+05:30,3,14,23.73
2024-10-01 00:00:00+05:30,4,18,30.51
2024-10-01 00:00:00+05:30,5,16,27.12
2024-10-01 00:00:00+05:30,6,12,20.34
2024-10-01 00:00:00+05:30,7,8,13.56
2024-10-01 00:00:00+05:30,8,15,25.42
2024-10-01 00:00:00+05:30,9,12,20.34
2024-10-01 00:00:00+05:30,10,18,30.51
2024-10-01 00:00:00+05:30,11,10,16.95
2024-10-01 00:00:00+05:30,12,19,32.2
2024-10-01 00:00:00+05:30,13,17,28.81
2024-10-01 00:00:00+05:30,14,10,16.95
2024-11-01 00:00:00+05:30,0,49,100
2024-11-01 00:00:00+05:30,1,15,30.61
2024-11-01 00:00:00+05:30,2,12,24.49
2024-11-01 00:00:00+05:30,3,14,28.57
2024-11-01 00:00:00+05:30,4,14,28.57
2024-11-01 00:00:00+05:30,5,4,8.16
2024-11-01 00:00:00+05:30,6,11,22.45
2024-11-01 00:00:00+05:30,7,11,22.45
2024-11-01 00:00:00+05:30,8,15,30.61
2024-11-01 00:00:00+05:30,9,14,28.57
2024-11-01 00:00:00+05:30,10,9,18.37
2024-11-01 00:00:00+05:30,11,9,18.37
2024-11-01 00:00:00+05:30,12,11,22.45
2024-11-01 00:00:00+05:30,13,11,22.45
2024-12-01 00:00:00+05:30,0,45,100
2024-12-01 00:00:00+05:30,1,15,33.33
2024-12-01 00:00:00+05:30,2,12,26.67
2024-12-01 00:00:00+05:30,3,11,24.44
2024-12-01 00:00:00+05:30,4,10,22.22
2024-12-01 00:00:00+05:30,5,9,20
2024-12-01 00:00:00+05:30,6,11,24.44
2024-12-01 00:00:00+05:30,7,10,22.22
2024-12-01 00:00:00+05:30,8,10,22.22
2024-12-01 00:00:00+05:30,9,8,17.78
2024-12-01 00:00:00+05:30,10,9,20
2024-12-01 00:00:00+05:30,11,8,17.78
2024-12-01 00:00:00+05:30,12,9,20
2025-01-01 00:00:00+05:30,0,29,100
2025-01-01 00:00:00+05:30,1,9,31.03
2025-01-01 00:00:00+05:30,2,12,41.38
2025-01-01 00:00:00+05:30,3,9,31.03
2025-01-01 00:00:00+05:30,4,7,24.14
2025-01-01 00:00:00+05:30,5,10,34.48
2025-01-01 00:00:00+05:30,6,7,24.14
2025-01-01 00:00:00+05:30,7,6,20.69
2025-01-01 00:00:00+05:30,8,9,31.03
2025-01-01 00:00:00+05:30,9,9,31.03
2025-01-01 00:00:00+05:30,10,9,31.03
2025-01-01 00:00:00+05:30,11,7,24.14
2025-02-01 00:00:00+05:30,0,20,100
2025-02-01 00:00:00+05:30,1,3,15
2025-02-01 00:00:00+05:30,2,7,35
2025-02-01 00:00:00+05:30,3,5,25
2025-02-01 00:00:00+05:30,4,2,10
2025-02-01 00:00:00+05:30,5,4,20
2025-02-01 00:00:00+05:30,6,6,30
2025-02-01 00:00:00+05:30,7,4,20
2025-02-01 00:00:00+05:30,8,7,35
2025-02-01 00:00:00+05:30,9,5,25
2025-02-01 00:00:00+05:30,10,3,15
2025-03-01 00:00:00+05:30,0,17,100
2025-03-01 00:00:00+05:30,1,4,23.53
2025-03-01 00:00:00+05:30,2,3,17.65
2025-03-01 00:00:00+05:30,3,4,23.53
2025-03-01 00:00:00+05:30,4,5,29.41
2025-03-01 00:00:00+05:30,5,4,23.53
2025-03-01 00:00:00+05:30,6,2,11.76
2025-03-01 00:00:00+05:30,7,6,35.29
2025-03-01 00:00:00+05:30,8,3,17.65
