"cohort_month","month_number","cohort_size","retained_users","retention_rate"
"2023-04-01",11,"1432","235","16.41"
"2023-04-01",12,"1432","206","14.39"
"2023-04-01",13,"1432","163","11.38"
"2023-04-01",14,"1432","132","9.22"
"2023-04-01",15,"1432","120","8.38"
"2023-04-01",16,"1432","91","6.35"
"2023-04-01",17,"1432","75","5.24"
"2023-04-01",18,"1432","63","4.40"
"2023-04-01",19,"1432","202","14.11"
"2023-04-01",20,"1432","207","14.46"
"2023-04-01",21,"1432","34","2.37"
"2023-04-01",22,"1432","23","1.61"
"2023-04-01",23,"1432","35","2.44"
"2023-04-01",24,"1432","16","1.12"
"2023-04-01",25,"1432","15","1.05"
"2023-04-01",26,"1432","8","0.56"
"2023-04-01",27,"1432","9","0.63"
"2023-04-01",28,"1432","6","0.42"
"2023-04-01",29,"1432","6","0.42"
"2023-04-01",30,"1432","4","0.28"
"2023-04-01",31,"1432","18","1.26"
"2023-04-01",32,"1432","20","1.40"
"2023-05-01",0,"1648","1648","100.00"
"2023-05-01",1,"1648","1068","64.81"
"2023-05-01",2,"1648","975","59.16"
"2023-05-01",3,"1648","902","54.73"
"2023-05-01",4,"1648","757","45.93"
"2023-05-01",5,"1648","700","42.48"
"2023-05-01",6,"1648","955","57.95"
"2023-05-01",7,"1648","914","55.46"
"2023-05-01",8,"1648","423","25.67"
"2023-05-01",9,"1648","379","23.00"
"2023-05-01",10,"1648","320","19.42"
"2023-05-01",11,"1648","275","16.69"
"2023-05-01",12,"1648","234","14.20"
"2023-05-01",13,"1648","179","10.86"
"2023-05-01",14,"1648","161","9.77"
"2023-05-01",15,"1648","123","7.46"
"2023-05-01",16,"1648","109","6.61"
"2023-05-01",17,"1648","79","4.79"
"2023-05-01",18,"1648","257","15.59"
"2023-05-01",19,"1648","236","14.32"
"2023-05-01",20,"1648","37","2.25"
"2023-05-01",21,"1648","42","2.55"
"2023-05-01",22,"1648","40","2.43"
"2023-05-01",23,"1648","26","1.58"
"2023-05-01",24,"1648","25","1.52"
"2023-05-01",25,"1648","18","1.09"
"2023-05-01",26,"1648","14","0.85"
"2023-05-01",27,"1648","11","0.67"
"2023-05-01",28,"1648","9","0.55"
"2023-05-01",29,"1648","11","0.67"
"2023-05-01",30,"1648","19","1.15"
"2023-05-01",31,"1648","34","2.06"
"2023-06-01",0,"1657","1657","100.00"
"2023-06-01",1,"1657","1077","65.00"
"2023-06-01",2,"1657","933","56.31"
"2023-06-01",3,"1657","840","50.69"
"2023-06-01",4,"1657","757","45.68"
"2023-06-01",5,"1657","951","57.39"
"2023-06-01",6,"1657","943","56.91"
"2023-06-01",7,"1657","493","29.75"
"2023-06-01",8,"1657","436","26.31"
"2023-06-01",9,"1657","399","24.08"
"2023-06-01",10,"1657","289","17.44"
"2023-06-01",11,"1657","272","16.42"
"2023-06-01",12,"1657","207","12.49"
"2023-06-01",13,"1657","198","11.95"
"2023-06-01",14,"1657","163","9.84"
"2023-06-01",15,"1657","126","7.60"
"2023-06-01",16,"1657","92","5.55"
"2023-06-01",17,"1657","318","19.19"
"2023-06-01",18,"1657","304","18.35"
"2023-06-01",19,"1657","58","3.50"
"2023-06-01",20,"1657","46","2.78"
"2023-06-01",21,"1657","44","2.66"
"2023-06-01",22,"1657","24","1.45"
"2023-06-01",23,"1657","24","1.45"
"2023-06-01",24,"1657","23","1.39"
"2023-06-01",25,"1657","8","0.48"
"2023-06-01",26,"1657","15","0.91"
"2023-06-01",27,"1657","19","1.15"
"2023-06-01",28,"1657","11","0.66"
"2023-06-01",29,"1657","24","1.45"
"2023-06-01",30,"1657","28","1.69"
"2023-07-01",0,"1766","1766","100.00"
"2023-07-01",1,"1766","1129","63.93"
"2023-07-01",2,"1766","978","55.38"
"2023-07-01",3,"1766","913","51.70"
"2023-07-01",4,"1766","1065","60.31"
"2023-07-01",5,"1766","1039","58.83"
"2023-07-01",6,"1766","626","35.45"
"2023-07-01",7,"1766","509","28.82"
"2023-07-01",8,"1766","470","26.61"
"2023-07-01",9,"1766","395","22.37"
"2023-07-01",10,"1766","355","20.10"
"2023-07-01",11,"1766","249","14.10"
"2023-07-01",12,"1766","240","13.59"
"2023-07-01",13,"1766","188","10.65"
"2023-07-01",14,"1766","165","9.34"
"2023-07-01",15,"1766","142","8.04"
"2023-07-01",16,"1766","371","21.01"
"2023-07-01",17,"1766","375","21.23"
"2023-07-01",18,"1766","77","4.36"
"2023-07-01",19,"1766","55","3.11"
"2023-07-01",20,"1766","54","3.06"
"2023-07-01",21,"1766","39","2.21"
"2023-07-01",22,"1766","30","1.70"
"2023-07-01",23,"1766","23","1.30"
"2023-07-01",24,"1766","24","1.36"
"2023-07-01",25,"1766","13","0.74"
"2023-07-01",26,"1766","18","1.02"
"2023-07-01",27,"1766","12","0.68"
"2023-07-01",28,"1766","42","2.38"
"2023-07-01",29,"1766","41","2.32"
"2023-08-01",0,"1765","1765","100.00"
"2023-08-01",1,"1765","1062","60.17"
"2023-08-01",2,"1765","1010","57.22"
"2023-08-01",3,"1765","1115","63.17"
"2023-08-01",4,"1765","1092","61.87"
"2023-08-01",5,"1765","710","40.23"
"2023-08-01",6,"1765","586","33.20"
"2023-08-01",7,"1765","576","32.63"
"2023-08-01",8,"1765","444","25.16"
"2023-08-01",9,"1765","384","21.76"
"2023-08-01",10,"1765","319","18.07"
"2023-08-01",11,"1765","286","16.20"
"2023-08-01",12,"1765","251","14.22"
"2023-08-01",13,"1765","190","10.76"
"2023-08-01",14,"1765","161","9.12"
"2023-08-01",15,"1765","439","24.87"
"2023-08-01",16,"1765","446","25.27"
"2023-08-01",17,"1765","88","4.99"
"2023-08-01",18,"1765","72","4.08"
"2023-08-01",19,"1765","70","3.97"
"2023-08-01",20,"1765","50","2.83"
"2023-08-01",21,"1765","45","2.55"
"2023-08-01",22,"1765","24","1.36"
"2023-08-01",23,"1765","26","1.47"
"2023-08-01",24,"1765","29","1.64"
"2023-08-01",25,"1765","23","1.30"
"2023-08-01",26,"1765","21","1.19"
"2023-08-01",27,"1765","45","2.55"
"2023-08-01",28,"1765","47","2.66"
"2023-09-01",0,"1860","1860","100.00"
"2023-09-01",1,"1860","1205","64.78"
"2023-09-01",2,"1860","1266","68.06"
"2023-09-01",3,"1860","1213","65.22"
"2023-09-01",4,"1860","882","47.42"
"2023-09-01",5,"1860","721","38.76"
"2023-09-01",6,"1860","657","35.32"
"2023-09-01",7,"1860","582","31.29"
"2023-09-01",8,"1860","483","25.97"
"2023-09-01",9,"1860","421","22.63"
"2023-09-01",10,"1860","375","20.16"
"2023-09-01",11,"1860","305","16.40"
"2023-09-01",12,"1860","247","13.28"
"2023-09-01",13,"1860","239","12.85"
"2023-09-01",14,"1860","550","29.57"
"2023-09-01",15,"1860","566","30.43"
"2023-09-01",16,"1860","128","6.88"
"2023-09-01",17,"1860","105","5.65"
"2023-09-01",18,"1860","97","5.22"
"2023-09-01",19,"1860","78","4.19"
"2023-09-01",20,"1860","63","3.39"
"2023-09-01",21,"1860","43","2.31"
"2023-09-01",22,"1860","27","1.45"
"2023-09-01",23,"1860","21","1.13"
"2023-09-01",24,"1860","29","1.56"
"2023-09-01",25,"1860","32","1.72"
"2023-09-01",26,"1860","63","3.39"
"2023-09-01",27,"1860","60","3.23"
"2023-10-01",0,"2150","2150","100.00"
"2023-10-01",1,"2150","1494","69.49"
"2023-10-01",2,"2150","1409","65.53"
"2023-10-01",3,"2150","1067","49.63"
"2023-10-01",4,"2150","940","43.72"
"2023-10-01",5,"2150","902","41.95"
"2023-10-01",6,"2150","741","34.47"
"2023-10-01",7,"2150","667","31.02"
"2023-10-01",8,"2150","532","24.74"
"2023-10-01",9,"2150","468","21.77"
"2023-10-01",10,"2150","373","17.35"
"2023-10-01",11,"2150","340","15.81"
"2023-10-01",12,"2150","300","13.95"
"2023-10-01",13,"2150","742","34.51"
"2023-10-01",14,"2150","710","33.02"
"2023-10-01",15,"2150","168","7.81"
"2023-10-01",16,"2150","129","6.00"
"2023-10-01",17,"2150","111","5.16"
"2023-10-01",18,"2150","88","4.09"
"2023-10-01",19,"2150","74","3.44"
"2023-10-01",20,"2150","70","3.26"
"2023-10-01",21,"2150","47","2.19"
"2023-10-01",22,"2150","38","1.77"
"2023-10-01",23,"2150","36","1.67"
"2023-10-01",24,"2150","34","1.58"
"2023-10-01",25,"2150","84","3.91"
"2023-10-01",26,"2150","100","4.65"
"2023-11-01",0,"3004","3004","100.00"
"2023-11-01",1,"3004","1967","65.48"
"2023-11-01",2,"3004","1666","55.46"
"2023-11-01",3,"3004","1483","49.37"
"2023-11-01",4,"3004","1379","45.91"
"2023-11-01",5,"3004","1140","37.95"
"2023-11-01",6,"3004","1042","34.69"
"2023-11-01",7,"3004","893","29.73"
"2023-11-01",8,"3004","809","26.93"
"2023-11-01",9,"3004","699","23.27"
"2023-11-01",10,"3004","564","18.77"
"2023-11-01",11,"3004","480","15.98"
"2023-11-01",12,"3004","1186","39.48"
"2023-11-01",13,"3004","1149","38.25"
"2023-11-01",14,"3004","308","10.25"
"2023-11-01",15,"3004","218","7.26"
"2023-11-01",16,"3004","200","6.66"
"2023-11-01",17,"3004","164","5.46"
"2023-11-01",18,"3004","128","4.26"
"2023-11-01",19,"3004","112","3.73"
"2023-11-01",20,"3004","71","2.36"
"2023-11-01",21,"3004","52","1.73"
"2023-11-01",22,"3004","62","2.06"
"2023-11-01",23,"3004","48","1.60"
"2023-11-01",24,"3004","144","4.79"
"2023-11-01",25,"3004","162","5.39"
"2023-12-01",0,"2621","2621","100.00"
"2023-12-01",1,"2621","1520","57.99"
"2023-12-01",2,"2621","1383","52.77"
"2023-12-01",3,"2621","1290","49.22"
"2023-12-01",4,"2621","1117","42.62"
"2023-12-01",5,"2621","954","36.40"
"2023-12-01",6,"2621","879","33.54"
"2023-12-01",7,"2621","766","29.23"
"2023-12-01",8,"2621","649","24.76"
"2023-12-01",9,"2621","546","20.83"
"2023-12-01",10,"2621","485","18.50"
"2023-12-01",11,"2621","1095","41.78"
"2023-12-01",12,"2621","1025","39.11"
"2023-12-01",13,"2621","282","10.76"
"2023-12-01",14,"2621","208","7.94"
"2023-12-01",15,"2621","187","7.13"
"2023-12-01",16,"2621","150","5.72"
"2023-12-01",17,"2621","137","5.23"
"2023-12-01",18,"2621","91","3.47"
"2023-12-01",19,"2621","90","3.43"
"2023-12-01",20,"2621","78","2.98"
"2023-12-01",21,"2621","62","2.37"
"2023-12-01",22,"2621","50","1.91"
"2023-12-01",23,"2621","160","6.10"
"2023-12-01",24,"2621","150","5.72"
"2024-01-01",0,"2172","2172","100.00"
"2024-01-01",1,"2172","1246","57.37"
"2024-01-01",2,"2172","1181","54.37"
"2024-01-01",3,"2172","1081","49.77"
"2024-01-01",4,"2172","954","43.92"
"2024-01-01",5,"2172","829","38.17"
"2024-01-01",6,"2172","739","34.02"
"2024-01-01",7,"2172","577","26.57"
"2024-01-01",8,"2172","513","23.62"
"2024-01-01",9,"2172","437","20.12"
"2024-01-01",10,"2172","1023","47.10"
"2024-01-01",11,"2172","960","44.20"
"2024-01-01",12,"2172","283","13.03"
"2024-01-01",13,"2172","181","8.33"
"2024-01-01",14,"2172","204","9.39"
"2024-01-01",15,"2172","174","8.01"
"2024-01-01",16,"2172","135","6.22"
"2024-01-01",17,"2172","86","3.96"
"2024-01-01",18,"2172","92","4.24"
"2024-01-01",19,"2172","71","3.27"
"2024-01-01",20,"2172","47","2.16"
"2024-01-01",21,"2172","47","2.16"
"2024-01-01",22,"2172","145","6.68"
"2024-01-01",23,"2172","135","6.22"
"2024-02-01",0,"1786","1786","100.00"
"2024-02-01",1,"1786","1070","59.91"
"2024-02-01",2,"1786","970","54.31"
"2024-02-01",3,"1786","885","49.55"
"2024-02-01",4,"1786","749","41.94"
"2024-02-01",5,"1786","672","37.63"
"2024-02-01",6,"1786","591","33.09"
"2024-02-01",7,"1786","513","28.72"
"2024-02-01",8,"1786","454","25.42"
"2024-02-01",9,"1786","896","50.17"
"2024-02-01",10,"1786","881","49.33"
"2024-02-01",11,"1786","273","15.29"
"2024-02-01",12,"1786","173","9.69"
"2024-02-01",13,"1786","211","11.81"
"2024-02-01",14,"1786","170","9.52"
"2024-02-01",15,"1786","147","8.23"
"2024-02-01",16,"1786","109","6.10"
"2024-02-01",17,"1786","87","4.87"
"2024-02-01",18,"1786","83","4.65"
"2024-02-01",19,"1786","57","3.19"
"2024-02-01",20,"1786","41","2.30"
"2024-02-01",21,"1786","142","7.95"
"2024-02-01",22,"1786","135","7.56"
"2024-03-01",0,"1985","1985","100.00"
"2024-03-01",1,"1985","1178","59.35"
"2024-03-01",2,"1985","1128","56.83"
"2024-03-01",3,"1985","974","49.07"
"2024-03-01",4,"1985","851","42.87"
"2024-03-01",5,"1985","762","38.39"
"2024-03-01",6,"1985","660","33.25"
"2024-03-01",7,"1985","588","29.62"
"2024-03-01",8,"1985","1024","51.59"
"2024-03-01",9,"1985","1034","52.09"
"2024-03-01",10,"1985","366","18.44"
"2024-03-01",11,"1985","287","14.46"
"2024-03-01",12,"1985","272","13.70"
"2024-03-01",13,"1985","209","10.53"
"2024-03-01",14,"1985","185","9.32"
"2024-03-01",15,"1985","139","7.00"
"2024-03-01",16,"1985","116","5.84"
"2024-03-01",17,"1985","118","5.94"
"2024-03-01",18,"1985","82","4.13"
"2024-03-01",19,"1985","75","3.78"
"2024-03-01",20,"1985","196","9.87"
"2024-03-01",21,"1985","216","10.88"
"2024-04-01",0,"2072","2072","100.00"
"2024-04-01",1,"2072","1243","59.99"
"2024-04-01",2,"2072","1165","56.23"
"2024-04-01",3,"2072","1041","50.24"
"2024-04-01",4,"2072","921","44.45"
"2024-04-01",5,"2072","798","38.51"
"2024-04-01",6,"2072","750","36.20"
"2024-04-01",7,"2072","1126","54.34"
"2024-04-01",8,"2072","1057","51.01"
"2024-04-01",9,"2072","466","22.49"
"2024-04-01",10,"2072","363","17.52"
"2024-04-01",11,"2072","318","15.35"
"2024-04-01",12,"2072","242","11.68"
"2024-04-01",13,"2072","251","12.11"
"2024-04-01",14,"2072","184","8.88"
"2024-04-01",15,"2072","153","7.38"
"2024-04-01",16,"2072","134","6.47"
"2024-04-01",17,"2072","97","4.68"
"2024-04-01",18,"2072","87","4.20"
"2024-04-01",19,"2072","263","12.69"
"2024-04-01",20,"2072","241","11.63"
"2024-05-01",0,"2165","2165","100.00"
"2024-05-01",1,"2165","1345","62.12"
"2024-05-01",2,"2165","1228","56.72"
"2024-05-01",3,"2165","1152","53.21"
"2024-05-01",4,"2165","971","44.85"
"2024-05-01",5,"2165","865","39.95"
"2024-05-01",6,"2165","1217","56.21"
"2024-05-01",7,"2165","1191","55.01"
"2024-05-01",8,"2165","576","26.61"
"2024-05-01",9,"2165","441","20.37"
"2024-05-01",10,"2165","401","18.52"
"2024-05-01",11,"2165","350","16.17"
"2024-05-01",12,"2165","286","13.21"
"2024-05-01",13,"2165","263","12.15"
"2024-05-01",14,"2165","204","9.42"
"2024-05-01",15,"2165","158","7.30"
"2024-05-01",16,"2165","128","5.91"
"2024-05-01",17,"2165","112","5.17"
"2024-05-01",18,"2165","346","15.98"
"2024-05-01",19,"2165","339","15.66"
"2024-06-01",0,"2207","2207","100.00"
"2024-06-01",1,"2207","1343","60.85"
"2024-06-01",2,"2207","1222","55.37"
"2024-06-01",3,"2207","1090","49.39"
"2024-06-01",4,"2207","974","44.13"
"2024-06-01",5,"2207","1247","56.50"
"2024-06-01",6,"2207","1193","54.06"
"2024-06-01",7,"2207","658","29.81"
"2024-06-01",8,"2207","485","21.98"
"2024-06-01",9,"2207","451","20.43"
"2024-06-01",10,"2207","403","18.26"
"2024-06-01",11,"2207","359","16.27"
"2024-06-01",12,"2207","270","12.23"
"2024-06-01",13,"2207","222","10.06"
"2024-06-01",14,"2207","198","8.97"
"2024-06-01",15,"2207","158","7.16"
"2024-06-01",16,"2207","131","5.94"
"2024-06-01",17,"2207","372","16.86"
"2024-06-01",18,"2207","378","17.13"
"2024-07-01",0,"2270","2270","100.00"
"2024-07-01",1,"2270","1385","61.01"
"2024-07-01",2,"2270","1217","53.61"
"2024-07-01",3,"2270","1145","50.44"
"2024-07-01",4,"2270","1370","60.35"
"2024-07-01",5,"2270","1273","56.08"
"2024-07-01",6,"2270","772","34.01"
"2024-07-01",7,"2270","625","27.53"
"2024-07-01",8,"2270","587","25.86"
"2024-07-01",9,"2270","465","20.48"
"2024-07-01",10,"2270","415","18.28"
"2024-07-01",11,"2270","287","12.64"
"2024-07-01",12,"2270","286","12.60"
"2024-07-01",13,"2270","235","10.35"
"2024-07-01",14,"2270","230","10.13"
"2024-07-01",15,"2270","168","7.40"
"2024-07-01",16,"2270","435","19.16"
"2024-07-01",17,"2270","436","19.21"
"2024-08-01",0,"2288","2288","100.00"
"2024-08-01",1,"2288","1366","59.70"
"2024-08-01",2,"2288","1283","56.08"
"2024-08-01",3,"2288","1422","62.15"
"2024-08-01",4,"2288","1364","59.62"
"2024-08-01",5,"2288","913","39.90"
"2024-08-01",6,"2288","707","30.90"
"2024-08-01",7,"2288","700","30.59"
"2024-08-01",8,"2288","612","26.75"
"2024-08-01",9,"2288","499","21.81"
"2024-08-01",10,"2288","416","18.18"
"2024-08-01",11,"2288","348","15.21"
"2024-08-01",12,"2288","287","12.54"
"2024-08-01",13,"2288","253","11.06"
"2024-08-01",14,"2288","223","9.75"
"2024-08-01",15,"2288","565","24.69"
"2024-08-01",16,"2288","546","23.86"
"2024-09-01",0,"2413","2413","100.00"
"2024-09-01",1,"2413","1522","63.08"
"2024-09-01",2,"2413","1568","64.98"
"2024-09-01",3,"2413","1490","61.75"
"2024-09-01",4,"2413","1068","44.26"
"2024-09-01",5,"2413","914","37.88"
"2024-09-01",6,"2413","859","35.60"
"2024-09-01",7,"2413","739","30.63"
"2024-09-01",8,"2413","649","26.90"
"2024-09-01",9,"2413","525","21.76"
"2024-09-01",10,"2413","462","19.15"
"2024-09-01",11,"2413","399","16.54"
"2024-09-01",12,"2413","298","12.35"
"2024-09-01",13,"2413","295","12.23"
"2024-09-01",14,"2413","718","29.76"
"2024-09-01",15,"2413","661","27.39"
"2024-10-01",0,"2656","2656","100.00"
"2024-10-01",1,"2656","1840","69.28"
"2024-10-01",2,"2656","1760","66.27"
"2024-10-01",3,"2656","1388","52.26"
"2024-10-01",4,"2656","1189","44.77"
"2024-10-01",5,"2656","1086","40.89"
"2024-10-01",6,"2656","972","36.60"
"2024-10-01",7,"2656","864","32.53"
"2024-10-01",8,"2656","672","25.30"
"2024-10-01",9,"2656","623","23.46"
"2024-10-01",10,"2656","489","18.41"
"2024-10-01",11,"2656","425","16.00"
"2024-10-01",12,"2656","360","13.55"
"2024-10-01",13,"2656","921","34.68"
"2024-10-01",14,"2656","899","33.85"
"2024-11-01",0,"3941","3941","100.00"
"2024-11-01",1,"3941","2603","66.05"
"2024-11-01",2,"3941","2268","57.55"
"2024-11-01",3,"3941","1909","48.44"
"2024-11-01",4,"3941","1848","46.89"
"2024-11-01",5,"3941","1619","41.08"
"2024-11-01",6,"3941","1467","37.22"
"2024-11-01",7,"3941","1125","28.55"
"2024-11-01",8,"3941","1099","27.89"
"2024-11-01",9,"3941","994","25.22"
"2024-11-01",10,"3941","774","19.64"
"2024-11-01",11,"3941","699","17.74"
"2024-11-01",12,"3941","1577","40.02"
"2024-11-01",13,"3941","1542","39.13"
"2024-12-01",0,"3431","3431","100.00"
"2024-12-01",1,"3431","2025","59.02"
"2024-12-01",2,"3431","1738","50.66"
"2024-12-01",3,"3431","1638","47.74"
"2024-12-01",4,"3431","1464","42.67"
"2024-12-01",5,"3431","1311","38.21"
"2024-12-01",6,"3431","1103","32.15"
"2024-12-01",7,"3431","1026","29.90"
"2024-12-01",8,"3431","832","24.25"
"2024-12-01",9,"3431","737","21.48"
"2024-12-01",10,"3431","589","17.17"
"2024-12-01",11,"3431","1464","42.67"
"2024-12-01",12,"3431","1422","41.45"
"2025-01-01",0,"2689","2689","100.00"
"2025-01-01",1,"2689","1632","60.69"
"2025-01-01",2,"2689","1571","58.42"
"2025-01-01",3,"2689","1415","52.62"
"2025-01-01",4,"2689","1240","46.11"
"2025-01-01",5,"2689","1061","39.46"
"2025-01-01",6,"2689","970","36.07"
"2025-01-01",7,"2689","841","31.28"
"2025-01-01",8,"2689","680","25.29"
"2025-01-01",9,"2689","609","22.65"
"2025-01-01",10,"2689","1322","49.16"
"2025-01-01",11,"2689","1276","47.45"
"2025-02-01",0,"2269","2269","100.00"
"2025-02-01",1,"2269","1433","63.16"
"2025-02-01",2,"2269","1272","56.06"
"2025-02-01",3,"2269","1152","50.77"
"2025-02-01",4,"2269","1000","44.07"
"2025-02-01",5,"2269","907","39.97"
"2025-02-01",6,"2269","773","34.07"
"2025-02-01",7,"2269","722","31.82"
"2025-02-01",8,"2269","595","26.22"
"2025-02-01",9,"2269","1200","52.89"
"2025-02-01",10,"2269","1144","50.42"
"2025-03-01",0,"2609","2609","100.00"
"2025-03-01",1,"2609","1614","61.86"
"2025-03-01",2,"2609","1508","57.80"
"2025-03-01",3,"2609","1324","50.75"
"2025-03-01",4,"2609","1254","48.06"
"2025-03-01",5,"2609","1056","40.48"
"2025-03-01",6,"2609","945","36.22"
"2025-03-01",7,"2609","800","30.66"
"2025-03-01",8,"2609","1418","54.35"
"2025-03-01",9,"2609","1365","52.32"
"2025-04-01",0,"2599","2599","100.00"
"2025-04-01",1,"2599","1669","64.22"
"2025-04-01",2,"2599","1543","59.37"
"2025-04-01",3,"2599","1388","53.41"
"2025-04-01",4,"2599","1249","48.06"
"2025-04-01",5,"2599","1071","41.21"
"2025-04-01",6,"2599","968","37.25"
"2025-04-01",7,"2599","1471","56.60"
"2025-04-01",8,"2599","1461","56.21"
"2025-05-01",0,"2924","2924","100.00"
"2025-05-01",1,"2924","1927","65.90"
"2025-05-01",2,"2924","1775","60.70"
"2025-05-01",3,"2924","1590","54.38"
"2025-05-01",4,"2924","1472","50.34"
"2025-05-01",5,"2924","1303","44.56"
"2025-05-01",6,"2924","1783","60.98"
"2025-05-01",7,"2924","1689","57.76"
"2025-06-01",0,"2921","2921","100.00"
"2025-06-01",1,"2921","1955","66.93"
"2025-06-01",2,"2921","1789","61.25"
"2025-06-01",3,"2921","1624","55.60"
"2025-06-01",4,"2921","1461","50.02"
"2025-06-01",5,"2921","1884","64.50"
"2025-06-01",6,"2921","1790","61.28"
"2025-07-01",0,"2875","2875","100.00"
"2025-07-01",1,"2875","1946","67.69"
"2025-07-01",2,"2875","1795","62.43"
"2025-07-01",3,"2875","1635","56.87"
"2025-07-01",4,"2875","1916","66.64"
"2025-07-01",5,"2875","1817","63.20"
"2025-08-01",0,"3135","3135","100.00"
"2025-08-01",1,"3135","2179","69.51"
"2025-08-01",2,"3135","2041","65.10"
"2025-08-01",3,"3135","2239","71.42"
"2025-08-01",4,"3135","2163","69.00"
"2025-09-01",0,"3186","3186","100.00"
"2025-09-01",1,"3186","2400","75.33"
"2025-09-01",2,"3186","2457","77.12"
